family,rank,seed,observer,period,factor,tau,MG,ident,deg,cross
mf,4,2,random_projection,11.904761904761907,2,1,2.980721519647579,1.1757493428485732,False,80.0
mf,4,2,random_projection,11.904761904761907,4,1,2.980721519647579,1.1757493428485732,False,80.0
mf,4,2,random_projection,11.904761904761907,8,1,2.980721519647579,1.1757493428485732,False,80.0
teacher,1,0,loss,92.3076923076923,2,9,5.92505127753911,1.7280844830235151,False,231.0
teacher,1,0,loss,92.3076923076923,4,5,6.009914158911004,1.7973128775034477,False,231.0
teacher,1,0,loss,92.3076923076923,8,2,5.5527038560808375,1.9287986309054441,False,231.0
teacher,1,0,state_norm,92.3076923076923,2,9,8.110346527665476,2.342086472277575,False,51.0
teacher,1,0,state_norm,92.3076923076923,4,5,5.446804065525785,2.3822809988284015,False,51.0
teacher,1,0,state_norm,92.3076923076923,8,2,5.485490826413876,1.4060085257494106,False,51.0
teacher,1,0,velocity_norm,80.0,2,8,6.090538772759277,1.5399826943870343,False,230.0
teacher,1,0,velocity_norm,80.0,4,4,6.024698228649832,1.838595591473952,False,230.0
teacher,1,0,velocity_norm,80.0,8,2,5.658579811386822,1.8020657310033705,False,230.0
teacher,1,0,random_projection,150.0,2,15,6.23040395746482,2.168636363644166,False,101.0
teacher,1,0,random_projection,150.0,4,8,6.166468660168269,1.909353997186793,False,101.0
teacher,1,0,random_projection,150.0,8,4,6.072577929505579,1.7289631963413683,False,101.0
teacher,1,1,loss,150.0,2,15,5.523152269833968,1.6699443792516282,False,221.0
teacher,1,1,loss,150.0,4,8,5.744574751236528,1.7999293045260736,False,221.0
teacher,1,1,loss,150.0,8,4,6.207601347789324,1.6437222027556935,False,221.0
teacher,1,1,state_norm,150.0,2,15,5.629654974896564,1.4815433821178001,False,11.0
teacher,1,1,state_norm,150.0,4,8,5.1237545552698744,1.7255926833340303,False,11.0
teacher,1,1,state_norm,150.0,8,4,4.797970779952334,1.4554470502287287,False,11.0
teacher,1,1,velocity_norm,1200.0,2,120,,,True,251.0
teacher,1,1,velocity_norm,1200.0,4,60,,,True,251.0
teacher,1,1,velocity_norm,1200.0,8,30,5.381915843873586,,False,251.0
teacher,1,1,random_projection,300.0,2,30,8.290591680867754,,False,104.0
teacher,1,1,random_projection,300.0,4,15,6.742361010582161,1.7346847263675096,False,104.0
teacher,1,1,random_projection,300.0,8,8,6.2064787196696605,1.9943732867089086,False,104.0
teacher,1,2,loss,66.66666666666666,2,7,6.013255052054667,1.5582977646639669,False,216.0
teacher,1,2,loss,66.66666666666666,4,3,6.084789674584045,1.709118816487975,False,216.0
teacher,1,2,loss,66.66666666666666,8,2,5.270903986525153,2.2583375041957576,False,216.0
teacher,1,2,state_norm,1200.0,2,120,,,True,105.0
teacher,1,2,state_norm,1200.0,4,60,,,True,105.0
teacher,1,2,state_norm,1200.0,8,30,7.646601038605989,,False,105.0
teacher,1,2,velocity_norm,66.66666666666666,2,7,5.698491271301743,1.606700690982138,False,228.0
teacher,1,2,velocity_norm,66.66666666666666,4,3,5.866825305569477,1.8443903492833755,False,228.0
teacher,1,2,velocity_norm,66.66666666666666,8,2,5.792697977590349,1.812051070183346,False,228.0
teacher,1,2,random_projection,85.71428571428571,2,9,5.866658213526271,1.8393424501652564,False,169.0
teacher,1,2,random_projection,85.71428571428571,4,4,6.260889425455137,1.7383736805527792,False,169.0
teacher,1,2,random_projection,85.71428571428571,8,2,5.696997213812711,1.7247424227300843,False,169.0
teacher,2,0,loss,44.444444444444436,2,4,5.996925474729283,1.8135098139116383,False,264.0
teacher,2,0,loss,44.444444444444436,4,2,6.099131434866099,1.604730237827826,False,264.0
