observer,k,seed,MG,error
latent_projection,9,2,1.1846595258206962,-7.815340474179304
gradient_fro,9,2,1.2910429215104644,-7.708957078489536
gradient_projection,9,2,1.185177223884739,-7.814822776115261
output_fro,9,2,1.2111625432104056,-7.788837456789595
loss,9,2,1.2922324411473258,-7.707767558852674
latent_fro,10,2,1.3258103295706385,-8.674189670429362
latent_projection,10,2,1.183386218883318,-8.816613781116683
gradient_fro,10,2,1.4023564922558398,-8.59764350774416
gradient_projection,10,2,1.1908084442228735,-8.809191555777126
output_fro,10,2,1.2312483242018915,-8.768751675798109
loss,10,2,1.4029464166429064,-8.597053583357093
latent_fro,11,2,1.284968553474825,-9.715031446525176
latent_projection,11,2,1.2517514568602348,-9.748248543139765
gradient_fro,11,2,1.3828211167803883,-9.617178883219612
gradient_projection,11,2,1.1828775507331168,-9.817122449266883
output_fro,11,2,1.2154596806976337,-9.784540319302366
loss,11,2,1.382531931054983,-9.617468068945017
latent_fro,12,2,1.2828831068872861,-10.717116893112713
latent_projection,12,2,1.18442961997572,-10.81557038002428
gradient_fro,12,2,1.3825841566226547,-10.617415843377346
gradient_projection,12,2,1.1816883793270234,-10.818311620672976
output_fro,12,2,1.1862890869397187,-10.813710913060282
loss,12,2,1.382950994464807,-10.617049005535193
latent_fro,13,2,1.3630297587023006,-11.6369702412977
latent_projection,13,2,1.1913959108633045,-11.808604089136695
gradient_fro,13,2,1.3201109784148186,-11.679889021585181
gradient_projection,13,2,1.2805078342594756,-11.719492165740524
output_fro,13,2,1.2401324473319275,-11.759867552668073
loss,13,2,1.3202728680553473,-11.679727131944652
latent_fro,14,2,1.398521934748003,-12.601478065251998
latent_projection,14,2,1.2186630065064887,-12.781336993493511
gradient_fro,14,2,1.4228600114030605,-12.57713998859694
gradient_projection,14,2,1.1846503427319726,-12.815349657268028
output_fro,14,2,1.2074137585218243,-12.792586241478176
loss,14,2,1.423033016909079,-12.576966983090921
latent_fro,15,2,1.3886906739621865,-13.611309326037814
latent_projection,15,2,1.2360024095105921,-13.763997590489408
gradient_fro,15,2,1.5051833059031037,-13.494816694096896
gradient_projection,15,2,1.255796974512857,-13.744203025487144
output_fro,15,2,1.2214750685571683,-13.778524931442831
loss,15,2,1.5051609642522874,-13.494839035747713
latent_fro,16,2,1.4007754303917033,-14.599224569608296
latent_projection,16,2,1.2121142397264706,-14.787885760273529
gradient_fro,16,2,1.4216177627613042,-14.578382237238696
gradient_projection,16,2,1.185255764860556,-14.814744235139443
output_fro,16,2,1.3117036378059235,-14.688296362194077
loss,16,2,1.421575460643072,-14.578424539356927
latent_fro,17,2,1.4207983207426933,-15.579201679257306
latent_projection,17,2,1.2563762820243614,-15.74362371797564
gradient_fro,17,2,1.247560339122796,-15.752439660877204
gradient_projection,17,2,1.321436424882768,-15.678563575117233
output_fro,17,2,1.3005903687126728,-15.699409631287327
loss,17,2,1.2511794577298645,-15.748820542270135
latent_fro,18,2,1.4991996195382844,-16.500800380461715
latent_projection,18,2,1.2799265848961805,-16.72007341510382
gradient_fro,18,2,1.45248919994135,-16.54751080005865
gradient_projection,18,2,1.3264687040698426,-16.673531295930157
output_fro,18,2,1.3073582706524822,-16.692641729347518
