observer,k,seed,MG,error
latent_fro,13,2,1.3295686943288174,-11.670431305671183
latent_projection,13,2,15.882767501711065,2.882767501711065
gradient_fro,13,2,1.3295686946185006,-11.670431305381499
output_fro,13,2,1.3295686943288176,-11.670431305671183
parameter_fro,13,2,1.3295686943288174,-11.670431305671183
parameter_projection,13,2,15.615958575063987,2.6159585750639867
loss,13,2,1.3295922981185706,-11.67040770188143
latent_fro,14,2,1.3295686943288174,-12.670431305671183
latent_projection,14,2,15.72905029827929,1.7290502982792901
gradient_fro,14,2,1.3295686946184995,-12.6704313053815
output_fro,14,2,1.3295686943288174,-12.670431305671183
parameter_fro,14,2,1.3295686943288174,-12.670431305671183
parameter_projection,14,2,15.792636477462235,1.792636477462235
loss,14,2,1.3295922981185708,-12.670407701881429
latent_fro,15,2,1.3295686943288176,-13.670431305671183
latent_projection,15,2,15.914018960732285,0.9140189607322853
gradient_fro,15,2,1.3295686946184984,-13.670431305381502
output_fro,15,2,1.3295686943288174,-13.670431305671183
parameter_fro,15,2,1.3295686943288176,-13.670431305671183
parameter_projection,15,2,15.898755679040555,0.8987556790405549
loss,15,2,1.329592298118571,-13.670407701881429
latent_fro,16,2,1.3295686943288174,-14.670431305671183
latent_projection,16,2,15.98502801417082,-0.014971985829179246
gradient_fro,16,2,1.3295686946184968,-14.670431305381504
output_fro,16,2,1.3295686943288176,-14.670431305671183
parameter_fro,16,2,1.3295686943288174,-14.670431305671183
parameter_projection,16,2,15.98194758259189,-0.0180524174081107
loss,16,2,1.329592298118571,-14.670407701881429
latent_fro,17,2,1.3295686943288179,-15.670431305671181
latent_projection,17,2,15.914018682380243,-1.0859813176197566
gradient_fro,17,2,1.3295686946185012,-15.670431305381499
output_fro,17,2,1.3295686943288174,-15.670431305671183
parameter_fro,17,2,1.3295686943288179,-15.670431305671181
parameter_projection,17,2,15.787720347857187,-1.2122796521428132
loss,17,2,1.3295922981185708,-15.670407701881429
latent_fro,18,2,1.3295686943288174,-16.670431305671183
latent_projection,18,2,15.92436014199001,-2.075639858009991
gradient_fro,18,2,1.3295686946184992,-16.670431305381502
output_fro,18,2,1.3295686943288174,-16.670431305671183
parameter_fro,18,2,1.3295686943288174,-16.670431305671183
parameter_projection,18,2,16.06573875674982,-1.9342612432501802
loss,18,2,1.3295922981185706,-16.67040770188143
latent_fro,19,2,1.3295686943288174,-17.670431305671183
latent_projection,19,2,16.249489772374325,-2.750510227625675
gradient_fro,19,2,1.3295686946185017,-17.6704313053815
output_fro,19,2,1.3295686943288174,-17.670431305671183
parameter_fro,19,2,1.3295686943288174,-17.670431305671183
parameter_projection,19,2,15.858395123546234,-3.1416048764537656
loss,19,2,1.3295922981185706,-17.67040770188143
latent_fro,20,2,1.3295686943288174,-18.670431305671183
latent_projection,20,2,16.015708268254198,-3.9842917317458024
gradient_fro,20,2,1.329568694618502,-18.6704313053815
output_fro,20,2,1.3295686943288174,-18.670431305671183
parameter_fro,20,2,1.3295686943288174,-18.670431305671183
parameter_projection,20,2,15.87204059655204,-4.12795940344796
loss,20,2,1.329592298118571,-18.67040770188143
