metric,phase,embedding_dimension,k_neighbors,lb,mg,local_median,local_iqr
val_loss,post_grok,15,5,12.612393047175093,8.153612463007889,10.265849737226691,7.929368465137316
val_loss,post_grok,15,8,8.981324689753906,7.400085570098453,8.257980332658764,4.540422461206906
val_loss,post_grok,15,10,8.137020260549875,6.912222906163721,7.300285433961806,3.1648594115859563
val_loss,post_grok,15,15,7.22596420660526,6.101914519388145,6.898301128848206,3.415082581668166
weight_norm,fitting,6,5,4.892590333736698,3.6501169698644325,3.946054178875941,3.111765096392475
weight_norm,fitting,6,8,4.17359191022571,3.27119419777758,3.7050220157114113,2.567093424642848
weight_norm,fitting,6,10,3.9402030670613906,2.976625287779789,3.5179481864447686,2.5408247901249745
weight_norm,fitting,6,15,3.3759951396794565,2.7135001869741275,3.1880125646704123,1.713164143772365
weight_norm,fitting,9,5,5.708726817417705,3.390558640683659,3.8704784561867367,4.976026664366052
weight_norm,fitting,9,8,4.342476283620596,3.1593878098928343,3.5533764320764325,3.160588262705025
weight_norm,fitting,9,10,3.943271822076996,2.817191917042037,3.3931214734203654,2.945810616135208
weight_norm,fitting,9,15,3.7045689106701194,2.868101682672857,3.3788827765212455,2.2123176004290266
weight_norm,fitting,12,5,5.818946067266887,3.3625427089233493,3.815424760129127,3.7819765782874986
weight_norm,fitting,12,8,4.142805380464545,2.838922262850191,3.189345153317454,2.850964860276886
weight_norm,fitting,12,10,3.97918330281104,2.8169936364969987,3.182765549967962,3.0145036113043027
weight_norm,fitting,12,15,3.725668823108743,2.74340094396113,3.216678029871865,2.4816741653943333
weight_norm,fitting,15,5,5.094481930152346,3.052194619897769,3.338652848571192,4.004725148440304
weight_norm,fitting,15,8,4.138308069956365,2.920728042476892,3.0728988626746268,2.65484313921824
weight_norm,fitting,15,10,3.939686455735584,2.8104165948260618,3.322358798508076,2.8254874911090115
weight_norm,fitting,15,15,3.5682419558563496,2.640540085356878,2.9772900536162483,2.761278797747432
weight_norm,memorization_gap,6,5,6.426543857080096,4.883230258016544,5.066475245227931,3.7528878032797452
weight_norm,memorization_gap,6,8,5.385435656895393,4.505908965972532,4.849836568520066,2.3400128761759147
weight_norm,memorization_gap,6,10,5.168404329588475,4.458434278907397,4.879120092147822,2.220174798317962
weight_norm,memorization_gap,6,15,4.682360306258068,4.142803466382701,4.491259195610844,1.5676831241049145
weight_norm,memorization_gap,9,5,8.690640781101372,5.991265974020121,6.459758278783364,5.892478407449001
weight_norm,memorization_gap,9,8,7.007192378983195,5.651574700547688,6.19314501212876,3.5791497192474573
