sweep,arm,max_E,N,r,seed,observer,tau,truth_r,traj_rank,traj_pr,MG,LB,TwoNN,PRdelay,specPR256,roughness,acorr,degenerate,frac_floor,frac_sumfloor,tau_used,theiler_used,theiler_requested,embed_span,n_delay_vectors,crossings,margin_res,drive_cond,MG_2E,rho_ident,theiler_used_2E
N,frozen,20,1000,8,0,g_fro,4,8,20,7.986390033366685,10.059474988881368,10.58901890018979,10.608806467855793,14.905090902670953,19.21824403026829,0.8597598637610638,2.0,False,0.0,0.0,4,76,76,76,924,278,0.0036319987108274,3.327332910084477,12.150174166534436,1.2078338263143849,150.0
N,frozen,20,1000,8,0,c_proj1,4,8,20,7.986390033366685,5.264645768799014,5.4603246733622495,6.00373618426584,4.822508103253901,5.008455909243655,0.6162341073854519,2.0,False,0.0,0.0,4,76,76,76,924,205,0.0036319987108274,3.327332910084477,6.359080093899596,1.207883753848504,150.0
N,frozen,20,1000,8,0,fn_proj1,4,8,20,7.986390033366685,6.015600568970082,6.283321989137601,7.865889937524302,4.894968899926257,4.544106951439834,0.611526060986556,2.0,False,0.0,0.0,4,76,76,76,924,207,0.0036319987108274,3.327332910084477,6.108042988448676,1.015367113959566,150.0
N,frozen,20,1000,8,1,c_norm,4,8,20,7.97589698106606,6.08083524916216,6.3623151652080105,7.333478853486751,6.256701632308527,4.3133036894110255,0.5516059930356781,3.0,False,0.0,0.0,4,76,76,76,924,182,0.0036319987108274,4.260821702124582,,,
N,frozen,20,1000,8,1,g_fro,4,8,20,7.97589698106606,12.083901584586789,12.849546299055438,14.841890809866072,15.076674210517783,24.94636807044028,0.8213588332248696,2.0,False,0.0,0.0,4,76,76,76,924,263,0.0036319987108274,4.260821702124582,,,
N,frozen,20,1000,8,1,c_proj1,4,8,20,7.97589698106606,5.731623062993069,5.995872447088723,6.917825045069195,6.22413274769323,5.721469025427198,0.5822341699003837,3.0,False,0.0,0.0,4,76,76,76,924,192,0.0036319987108274,4.260821702124582,,,
N,frozen,20,1000,8,1,fn_proj1,4,8,20,7.97589698106606,6.939817932879811,7.436100645683807,10.148867896057332,6.55244070168173,5.645138718068695,0.5018847317437832,3.0,False,0.0,0.0,4,76,76,76,924,168,0.0036319987108274,4.260821702124582,,,
N,frozen,20,1000,8,2,c_norm,4,8,20,7.977320342023332,7.6138543132326815,7.9281877934973295,10.76969917167864,4.851684986425867,5.992166236092552,0.634294172722036,2.0,False,0.0,0.0,4,76,76,76,924,213,0.0036319987108274,6.092986493259598,,,
N,frozen,20,1000,8,2,g_fro,4,8,20,7.977320342023332,12.982060557108614,13.662456556140278,16.383484639150698,16.047241972565207,25.71399168791181,0.9130502675927412,2.0,False,0.0,0.0,4,76,76,76,924,312,0.0036319987108274,6.092986493259598,,,
N,frozen,20,1000,8,2,c_proj1,4,8,20,7.977320342023332,6.238522808015084,6.5247409003324,10.943419710287667,6.131123553072589,5.8722518240944686,0.5737940476387827,3.0,False,0.0,0.0,4,76,76,76,924,189,0.0036319987108274,6.092986493259598,,,
N,frozen,20,1000,8,2,fn_proj1,4,8,20,7.977320342023332,7.605282538286208,7.95255369295327,7.604843768571626,7.010308801332967,5.971809238759584,0.5758373457690135,3.0,False,0.0,0.0,4,76,76,76,924,183,0.0036319987108274,6.092986493259598,,,
N,frozen,20,1000,10,0,c_norm,4,10,20,9.954467920991103,7.2713112752495,7.599942013648008,9.705100982605774,5.678059958210908,3.803881834615327,0.6394962525366656,2.0,False,0.0,0.0,4,76,76,76,924,211,0.0020660229630209,5.665024652985174,7.990445923560757,1.0989002699910655,150.0
N,frozen,20,1000,10,0,g_fro,4,10,20,9.954467920991103,10.343860757879863,10.951243293946092,8.784406652428508,16.11298346419218,27.00182677036733,0.8744792772505657,2.0,False,0.0,0.0,4,76,76,76,924,276,0.0020660229630209,5.665024652985174,12.494006983548942,1.207866895736306,150.0
N,frozen,20,1000,10,0,c_proj1,4,10,20,9.954467920991103,6.966478904695873,7.300703064305789,10.129202903809782,5.141687334072029,3.594025369169473,0.5876133063896989,3.0,False,0.0,0.0,4,76,76,76,924,199,0.0020660229630209,5.665024652985174,8.601592825057333,1.2347116732470522,150.0
N,frozen,20,1000,10,0,fn_proj1,4,10,20,9.954467920991103,6.085923307706583,6.259352652350135,5.411908847093462,6.81098096706888,5.342396243008637,0.5766453066037284,3.0,False,0.0,0.0,4,76,76,76,924,188,0.0020660229630209,5.665024652985174,6.965516974443139,1.144529206541714,150.0
N,frozen,20,1000,10,1,c_norm,4,10,20,9.9449940982701,7.711579933476831,8.173006921112485,9.087984972690393,5.522224365981264,6.322339447400807,0.5423558844867311,3.0,False,0.0,0.0,4,76,76,76,924,175,0.0020660229630209,4.547475779601779,,,
N,frozen,20,1000,10,1,g_fro,4,10,20,9.9449940982701,12.22892872977977,12.89130451474153,15.851134349617189,15.265099669805258,29.446478665422024,0.8083148830121305,2.0,False,0.0,0.0,4,76,76,76,924,267,0.0020660229630209,4.547475779601779,,,
N,frozen,20,1000,10,1,c_proj1,4,10,20,9.9449940982701,5.156055483214485,5.31429120779463,6.9133117347329325,6.835836491615419,5.859025420312779,0.6115724604241906,2.0,False,0.0,0.0,4,76,76,76,924,197,0.0020660229630209,4.547475779601779,,,
N,frozen,20,1000,10,1,fn_proj1,4,10,20,9.9449940982701,7.680723119662716,8.103365926871083,11.44905949453698,6.825382809818905,7.750265015094047,0.5293738941898893,3.0,False,0.0,0.0,4,76,76,76,924,174,0.0020660229630209,4.547475779601779,,,
N,frozen,20,1000,10,2,c_norm,4,10,20,9.967232101101205,8.098757807031339,8.452246447222592,7.847554988417931,6.7740455088565055,5.698872034000145,0.6132494901734279,2.0,False,0.0,0.0,4,76,76,76,924,206,0.0020660229630209,10.627100037907132,,,
N,frozen,20,1000,10,2,g_fro,4,10,20,9.967232101101205,12.367745393770766,13.121124418476809,14.758610502378271,11.97184756153677,28.02657689095881,0.8388925006590636,2.0,False,0.0,0.0,4,76,76,76,924,282,0.0020660229630209,10.627100037907132,,,
N,frozen,20,1000,10,2,c_proj1,4,10,20,9.967232101101205,6.672109166457266,7.283750777481833,9.772930407795725,7.189969395861451,7.240497080420322,0.5835263451081438,3.0,False,0.0,0.0,4,76,76,76,924,195,0.0020660229630209,10.627100037907132,,,
N,frozen,20,1000,10,2,fn_proj1,4,10,20,9.967232101101205,5.957096217359155,6.214944677371376,5.468678668870185,6.501922162353191,5.283675135611806,0.552760400511632,3.0,False,0.0,0.0,4,76,76,76,924,177,0.0020660229630209,10.627100037907132,,,
N,frozen,20,1000,12,0,c_norm,4,12,20,11.947472704550188,7.3739008951429135,7.681761978485945,9.38805952823082,5.757447735618604,7.312609907318203,0.646092059305084,2.0,False,0.0,0.0,4,76,76,76,924,213,0.0019949221776174,6.189581182384586,8.86194841506445,1.2017992296183009,150.0
N,frozen,20,1000,12,0,g_fro,4,12,20,11.947472704550188,13.087411236560383,13.777486204050671,15.73594927639616,18.022205805813893,34.358965331124004,0.8448411818726345,2.0,False,0.0,0.0,4,76,76,76,924,265,0.0019949221776174,6.189581182384586,17.271882945863826,1.3197325761120653,150.0
N,frozen,20,1000,12,0,c_proj1,4,12,20,11.947472704550188,6.086896326476291,6.477184492515427,11.44359722928288,7.344780059720404,6.557463947859853,0.5582447870998503,3.0,False,0.0,0.0,4,76,76,76,924,188,0.0019949221776174,6.189581182384586,6.777652344417186,1.1134824680578672,150.0
N,frozen,20,1000,12,0,fn_proj1,4,12,20,11.947472704550188,9.680108103598402,10.209039250213708,13.941673567437832,8.358560039048855,9.251180914550291,0.5526342101505823,3.0,False,0.0,0.0,4,76,76,76,924,186,0.0019949221776174,6.189581182384586,10.397262791669789,1.07408540074101,150.0
N,frozen,20,1000,12,1,c_norm,4,12,20,11.943348406488685,7.374920251652694,7.871306360753522,7.756885097222956,5.8868395501070845,6.602338053614204,0.549295721981643,3.0,False,0.0,0.0,4,76,76,76,924,173,0.0019949221776174,11.835078102460011,,,
N,frozen,20,1000,12,1,g_fro,4,12,20,11.943348406488685,12.342218959112753,13.1598709561999,12.383823999939764,17.146368509356474,27.571020759267107,0.8455356828881169,2.0,False,0.0,0.0,4,76,76,76,924,272,0.0019949221776174,11.835078102460011,,,
N,frozen,20,1000,12,1,c_proj1,4,12,20,11.943348406488685,7.044630304423787,7.314039100934549,5.359720816971454,7.134552699054082,6.544129847626171,0.6132741226025479,2.0,False,0.0,0.0,4,76,76,76,924,197,0.0019949221776174,11.835078102460011,,,
N,frozen,20,1000,12,1,fn_proj1,4,12,20,11.943348406488685,7.930564366414281,8.313619735409166,9.805794199878484,7.762081265720377,9.643678257980596,0.5624998614717731,3.0,False,0.0,0.0,4,76,76,76,924,182,0.0019949221776174,11.835078102460011,,,
N,frozen,20,1000,12,2,c_norm,4,12,20,11.957908268403344,8.837860381599011,9.342714531599908,10.397803366069487,8.192987248514092,8.557918285247231,0.5807842040701109,3.0,False,0.0,0.0,4,76,76,76,924,186,0.0019949221776174,13.73141458813442,,,
