observer,k,seed,expected,class,LB,MG,PR,TwoNN,roughness
proj_rand0,4,2,4.0,good,6.254578494382228,4.771423218070387,2.231940776118033,5.147477904906458,0.9831565291110158
proj_rand1,4,2,4.0,good,4.5396404395553445,3.5144459716910394,2.5905955484895946,4.0591637943658645,0.835339718802205
proj_rand2,4,2,4.0,good,4.469938162040792,3.3527905394547775,3.198758516716793,2.0366319541147586,0.902433145001056
proj_rand3,4,2,4.0,good,2.5821466086748583,2.218902708310419,3.2097419445303657,2.059792955622659,0.9279591898398729
coord_active0,4,2,1.0,bad_by_construction,1.5523008466453387,1.2211809919557886,1.9918840830341875,0.6582136788179719,0.8644903992692656
proj_half_active,4,2,2.0,bad_by_construction,4.151530068757353,2.5972687027797727,2.4863605323083684,2.4121791322885624,0.9148832532025472
coord_inactive,4,2,,degenerate,17.370802095542583,13.042782013485578,14.88944909457622,13.323903018288256,1.4083895452885935
proj_inactive_only,4,2,,degenerate,15.0,12.061230985094952,10.233781149111998,13.321973221695032,1.0007531250832216
norm_fro,5,2,5.0,good,5.973474244190651,4.615214723628282,2.550740069626167,5.03760711446318,0.8347768383559464
norm_fro_sq,5,2,5.0,good,5.973625447773867,4.615225203415934,2.5507965522986513,5.037226824102871,0.8347866137381138
trace,5,2,5.0,good,5.842387380099878,4.479346471235633,2.781622032030018,4.632790815332364,0.8672584567536126
logdet,5,2,5.0,good,5.561822329725289,4.236947080393567,2.964269190699816,4.2366856435646385,0.9033408691958572
norm_l1,5,2,5.0,good,5.842379531429302,4.479347360141097,2.7816220810023173,4.632780941115513,0.8672584594118604
proj_rand0,5,2,5.0,good,5.263646124493337,4.047910795363382,2.72080513094507,4.314318955026033,0.8850443001109509
proj_rand1,5,2,5.0,good,5.457507835926454,4.113130982054385,2.1772752856791655,4.128111189457469,0.8210961841387985
proj_rand2,5,2,5.0,good,5.205748913500978,3.9285952975759475,2.885856670040596,4.466163752644407,0.8738506636096917
proj_rand3,5,2,5.0,good,5.621540994033999,4.368379672078275,2.6662792677698377,4.450898177724495,0.8605930030656543
coord_active0,5,2,1.0,bad_by_construction,1.552299814969468,1.2211762346889985,1.9918662533902194,0.6582173401472416,0.864500806650135
proj_half_active,5,2,2.0,bad_by_construction,4.157514179359364,2.599397826526296,2.485992646274402,2.41261900452777,0.9148182824377019
coord_inactive,5,2,,degenerate,17.37522556069579,13.044925600563165,14.889922721845474,13.342314083304583,1.409356160347371
proj_inactive_only,5,2,,degenerate,15.0,11.764158272190764,10.233748611882861,13.326241602901522,1.00075061893376
norm_fro,6,2,6.0,good,5.57780623510028,4.222199417890413,2.764041912962246,4.319088380489768,0.8766066446601692
norm_fro_sq,6,2,6.0,good,5.578197754291478,4.221833104629103,2.7641050833421796,4.320065971027586,0.8766183810643251
trace,6,2,6.0,good,6.059790382112254,4.627718845345502,2.7943404244661543,4.939637778833023,0.8889987566877874
logdet,6,2,6.0,good,5.864408687641847,4.4809621513203215,2.8995024815656847,4.7173907502279455,0.9097228807401089
norm_l1,6,2,6.0,good,6.059778114592041,4.627723582735942,2.7943404426482314,4.9396349938358615,0.8889987532734779
proj_rand0,6,2,6.0,good,5.329880733122556,4.018333088287922,2.715185624236263,4.148358119411433,0.8905611949330547
proj_rand1,6,2,6.0,good,5.326962986788582,4.042276334945287,2.5764210568062573,4.236114323310129,0.8908468815886865
proj_rand2,6,2,6.0,good,5.606449336328463,4.286870734819732,2.8931126039723694,4.31942788411311,0.8781673912612858
proj_rand3,6,2,6.0,good,5.489158191988635,4.221305080884435,2.6842468534380406,4.5445590993873,0.8627502743407556
