period,r,tau,max_E,seed,tau_used,theiler_used,span,span_periods,MG,PRdelay,specPR0,specPR256,roughness,degenerate,margin
16,6,8,10,1,8,72,72,4.5,7.298785694999313,4.1383511248595815,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,8,20,0,8,150,152,9.5,8.518744468471173,5.709404492307267,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,8,20,1,8,150,152,9.5,6.5384785090721875,5.699532894850995,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,16,10,0,16,144,144,9.0,7.079376785679929,4.5850448351236395,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,16,10,1,16,144,144,9.0,6.055947564701096,4.263019439076342,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,16,20,0,16,150,304,19.0,7.874647705157839,6.501652624931428,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,16,20,1,16,150,304,19.0,7.238296481765879,5.1790899137494275,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,32,10,0,32,150,288,18.0,6.889772813465896,6.066960123006526,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,32,10,1,32,150,288,18.0,6.807587212619185,4.914496539987229,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,32,20,0,32,150,608,38.0,7.752361421078555,7.271981561094047,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,32,20,1,32,150,608,38.0,5.844053859204441,5.689905675798661,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,acorr,10,0,1,9,9,0.5625,4.391691078419279,2.3602936945435298,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,acorr,10,1,1,9,9,0.5625,4.239554517827815,2.697773593035085,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,acorr,20,0,1,19,19,1.1875,5.545192361333952,3.0562321055916293,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,acorr,20,1,1,19,19,1.1875,5.380402417243324,4.148799631444223,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,8,1,10,0,1,9,9,0.5625,4.401051777052593,2.4704389313774584,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,1,10,1,1,9,9,0.5625,4.332903939331563,2.5430321887733442,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,1,20,0,1,19,19,1.1875,5.543222760200831,3.6013384832702844,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,1,20,1,1,19,19,1.1875,5.338243803659672,3.859975822168156,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,2,10,0,2,18,18,1.125,5.483996266037708,3.5827966699954508,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,2,10,1,2,18,18,1.125,5.281411966472501,3.838606869338814,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,2,20,0,2,38,38,2.375,7.17981454017405,4.880660092035085,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
